date,keyword,interest
2014-05-31,Abby Martin,5
2014-06-07,Abby Martin,7
2014-06-14,Abby Martin,5
2014-06-21,Abby Martin,4
2014-06-28,Abby Martin,8
2014-07-05,Abby Martin,13
2014-07-12,Abby Martin,20
2014-07-19,Abby Martin,13
2014-07-26,Abby Martin,12
2014-08-02,Abby Martin,62
2014-08-09,Abby Martin,16
2014-08-16,Abby Martin,11
2014-08-23,Abby Martin,9
2014-08-30,Abby Martin,7
2014-09-06,Abby Martin,7
2014-09-13,Abby Martin,6
2014-09-20,Abby Martin,8
2014-09-27,Abby Martin,8
2014-10-04,Abby Martin,5
2014-10-11,Abby Martin,6
2014-10-18,Abby Martin,8
2014-10-25,Abby Martin,8
2014-11-01,Abby Martin,6
2014-11-08,Abby Martin,5
2014-11-15,Abby Martin,5
2014-11-22,Abby Martin,5
2014-11-29,Abby Martin,3
2014-12-06,Abby Martin,6
2014-12-13,Abby Martin,6
2014-12-20,Abby Martin,4
2014-12-27,Abby Martin,5
2015-01-03,Abby Martin,6
2015-01-10,Abby Martin,8
2015-01-17,Abby Martin,7
2015-01-24,Abby Martin,6
2015-01-31,Abby Martin,5
2015-02-07,Abby Martin,6
2015-02-14,Abby Martin,10
2015-02-21,Abby Martin,12
2015-02-28,Abby Martin,13
2015-03-07,Abby Martin,7
2015-03-14,Abby Martin,8
2015-03-21,Abby Martin,7
2015-03-28,Abby Martin,7
2015-04-04,Abby Martin,6
2015-04-11,Abby Martin,37
2015-04-18,Abby Martin,25
2015-04-25,Abby Martin,16
2015-05-02,Abby Martin,38
2015-05-09,Abby Martin,17
2015-05-16,Abby Martin,7
2015-05-23,Abby Martin,10
2015-05-30,Abby Martin,10
2015-06-06,Abby Martin,7
2015-06-13,Abby Martin,7
2015-06-20,Abby Martin,7
2015-06-27,Abby Martin,7
2015-07-04,Abby Martin,8
2015-07-11,Abby Martin,6
2015-07-18,Abby Martin,6
2015-07-25,Abby Martin,5
2015-08-01,Abby Martin,5
2015-08-08,Abby Martin,6
2015-08-15,Abby Martin,4
2015-08-22,Abby Martin,54
2015-08-29,Abby Martin,25
2015-09-05,Abby Martin,13
2015-09-12,Abby Martin,6
2015-09-19,Abby Martin,6
2015-09-26,Abby Martin,7
2015-10-03,Abby Martin,4
2015-10-10,Abby Martin,8
2015-10-17,Abby Martin,7
2015-10-24,Abby Martin,10
2015-10-31,Abby Martin,6
2015-11-07,Abby Martin,7
2015-11-14,Abby Martin,7
2015-11-21,Abby Martin,5
2015-11-28,Abby Martin,7
2015-12-05,Abby Martin,5
2015-12-12,Abby Martin,10
2015-12-19,Abby Martin,10
2015-12-26,Abby Martin,8
2016-01-02,Abby Martin,7
2016-01-09,Abby Martin,6
2016-01-16,Abby Martin,7
2016-01-23,Abby Martin,5
2016-01-30,Abby Martin,5
2016-02-06,Abby Martin,6
2016-02-13,Abby Martin,6
2016-02-20,Abby Martin,5
2016-02-27,Abby Martin,4
2016-03-05,Abby Martin,5
2016-03-12,Abby Martin,6
2016-03-19,Abby Martin,6
2016-03-26,Abby Martin,6
2016-04-02,Abby Martin,5
2016-04-09,Abby Martin,7
2016-04-16,Abby Martin,15
2016-04-23,Abby Martin,9
2016-04-30,Abby Martin,9
2016-05-07,Abby Martin,9
2016-05-14,Abby Martin,7
2016-05-21,Abby Martin,11
2016-05-28,Abby Martin,7
2016-06-04,Abby Martin,7
2016-06-11,Abby Martin,5
2016-06-18,Abby Martin,9
2016-06-25,Abby Martin,3
2016-07-02,Abby Martin,6
2016-07-09,Abby Martin,4
2016-07-16,Abby Martin,5
2016-07-23,Abby Martin,12
2016-07-30,Abby Martin,7
2016-08-06,Abby Martin,5
2016-08-13,Abby Martin,4
2016-08-20,Abby Martin,5
2016-08-27,Abby Martin,5
2016-09-03,Abby Martin,3
2016-09-10,Abby Martin,4
2016-09-17,Abby Martin,5
2016-09-24,Abby Martin,5
2016-10-01,Abby Martin,4
2016-10-08,Abby Martin,8
2016-10-15,Abby Martin,9
2016-10-22,Abby Martin,8
2016-10-29,Abby Martin,5
2016-11-05,Abby Martin,13
2016-11-12,Abby Martin,7
2016-11-19,Abby Martin,4
2016-11-26,Abby Martin,7
2016-12-03,Abby Martin,5
2016-12-10,Abby Martin,7
2016-12-17,Abby Martin,4
2016-12-24,Abby Martin,5
2016-12-31,Abby Martin,7
2017-01-07,Abby Martin,9
2017-01-14,Abby Martin,6
2017-01-21,Abby Martin,8
2017-01-28,Abby Martin,8
2017-02-04,Abby Martin,7
2017-02-11,Abby Martin,9
2017-02-18,Abby Martin,8
2017-02-25,Abby Martin,5
2017-03-04,Abby Martin,6
2017-03-11,Abby Martin,4
2017-03-18,Abby Martin,5
2017-03-25,Abby Martin,7
2017-04-01,Abby Martin,13
2017-04-08,Abby Martin,11
2017-04-15,Abby Martin,12
2017-04-22,Abby Martin,98
2017-04-29,Abby Martin,27
2017-05-06,Abby Martin,8
2017-05-13,Abby Martin,7
2017-05-20,Abby Martin,7
2017-05-27,Abby Martin,8
2017-06-03,Abby Martin,7
